tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2006,"April","Hasil pertambangan dan sektor lainnya","Bauksit",4747
2006,"April","Hasil pertambangan dan sektor lainnya","Granit",1758
2006,"April","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",11182
2006,"April","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",598
2006,"April","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",34468
2006,"Mei","Hasil pertanian","Biji coklat",32108
2006,"Mei","Hasil pertanian","Udang",92548
2006,"Mei","Hasil pertanian","Biji kopi",24956
2006,"Mei","Hasil pertanian","Ikan dan lain-lain",40677
2006,"Mei","Hasil pertanian","Rempah-rempah",15112
2006,"Mei","Hasil pertanian","Teh",4276
2006,"Mei","Hasil pertanian","Bahan nabati",4695
2006,"Mei","Hasil pertanian","Buah-buahan",8722
2006,"Mei","Hasil pertanian","Tembakau",8301
2006,"Mei","Hasil pertanian","Sayur-sayuran",2148
2006,"Mei","Hasil pertanian","Damar dan getah damar",3592
2006,"Mei","Hasil pertanian","Karet alam",363
2006,"Mei","Hasil pertanian","Hasil pertanian lainnya",15740
2006,"Mei","Hasil industri","Minyak sawit",443982
2006,"Mei","Hasil industri","Tekstil dan produk tekstil",773816
2006,"Mei","Hasil industri","Peralatan listrik, alat ukur dan optik",551077
2006,"Mei","Hasil industri","Produk logam dasar ",568568
2006,"Mei","Hasil industri","Karet olahan ",448543
2006,"Mei","Hasil industri","Kertas dan barang dari kertas",239314
2006,"Mei","Hasil industri","Makanan olahan",163029
2006,"Mei","Hasil industri","Bahan kimia",217807
2006,"Mei","Hasil industri","Produk kayu olahan",248463
2006,"Mei","Hasil industri","Alas kaki",146554
2006,"Mei","Hasil industri","Damar tiruan, bahan plastik",147995
2006,"Mei","Hasil industri","Furnitur",147211
2006,"Mei","Hasil industri","Kapal laut dan sejenisnya",27338
2006,"Mei","Hasil industri","Bahan kertas",67254
2006,"Mei","Hasil industri","Suku cadang kendaraan",99641
2006,"Mei","Hasil industri","Kendaraan bermotor roda 4 dan lebih",44347
2006,"Mei","Hasil industri","Emas batangan",71020
2006,"Mei","Hasil industri","Suku cadang mesin",40485
2006,"Mei","Hasil industri","Asam berlemak",31245
2006,"Mei","Hasil industri","Komputer dan bagiannya",78871
2006,"Mei","Hasil industri","Sabun mandi dan cuci",28583
2006,"Mei","Hasil industri","Minyak atsiri dan lainnya",17728
2006,"Mei","Hasil industri","Gelas dan barang dari gelas",37417
2006,"Mei","Hasil industri","Pupuk",557
2006,"Mei","Hasil industri","Perlengkapan olahraga",16524
2006,"Mei","Hasil industri","Produk keramik",25668
2006,"Mei","Hasil industri","Makanan ternak",15002
2006,"Mei","Hasil industri","Margarin dan lemak lainnya",12259
2006,"Mei","Hasil industri","Produk farmasi",10510
2006,"Mei","Hasil industri","Barang dari logam mulia",6932
2006,"Mei","Hasil industri","Kulit dan barang dari kulit",14952
2006,"Mei","Hasil industri","Preparat pembasmi kuman",7620
2006,"Mei","Hasil industri","Pesawat udara dan bagiannya",40586
2006,"Mei","Hasil industri","Bahan celup organik sintetik",11292
2006,"Mei","Hasil industri","Semen",17003
2006,"Mei","Hasil industri","Kendaraan bermotor roda 2 dan 3",2314
2006,"Mei","Hasil industri","Barang anyaman",6963
2006,"Mei","Hasil industri","Rotan olahan",2663
2006,"Mei","Hasil industri","Peti kemas",2915
2006,"Mei","Hasil industri","Gliserol dan larutan alkali",333
2006,"Mei","Hasil industri","Hasil industri lainnya",414276
2006,"Mei","Hasil pertambangan dan sektor lainnya","Batubara",540756
2006,"Mei","Hasil pertambangan dan sektor lainnya","Biji tembaga",248356
2006,"Mei","Hasil pertambangan dan sektor lainnya","Biji nikel",21650
2006,"Mei","Hasil pertambangan dan sektor lainnya","Bauksit",4262
2006,"Mei","Hasil pertambangan dan sektor lainnya","Granit",65
2006,"Mei","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",16004
2006,"Mei","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",495
2006,"Mei","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",100909
2006,"Juni","Hasil pertanian","Biji coklat",109639
2006,"Juni","Hasil pertanian","Udang",94089
2006,"Juni","Hasil pertanian","Biji kopi",30181
2006,"Juni","Hasil pertanian","Ikan dan lain-lain",44492
2006,"Juni","Hasil pertanian","Rempah-rempah",11335
2006,"Juni","Hasil pertanian","Teh",5176
2006,"Juni","Hasil pertanian","Bahan nabati",3642
2006,"Juni","Hasil pertanian","Buah-buahan",4115
2006,"Juni","Hasil pertanian","Tembakau",4047
2006,"Juni","Hasil pertanian","Sayur-sayuran",2364
2006,"Juni","Hasil pertanian","Damar dan getah damar",4151
2006,"Juni","Hasil pertanian","Karet alam",1533
2006,"Juni","Hasil pertanian","Hasil pertanian lainnya",38691
2006,"Juni","Hasil industri","Minyak sawit",302476
2006,"Juni","Hasil industri","Tekstil dan produk tekstil",885974
2006,"Juni","Hasil industri","Peralatan listrik, alat ukur dan optik",653650
2006,"Juni","Hasil industri","Produk logam dasar ",656006
2006,"Juni","Hasil industri","Karet olahan ",463679
2006,"Juni","Hasil industri","Kertas dan barang dari kertas",237889
2006,"Juni","Hasil industri","Makanan olahan",159725
2006,"Juni","Hasil industri","Bahan kimia",241255
2006,"Juni","Hasil industri","Produk kayu olahan",262110
2006,"Juni","Hasil industri","Alas kaki",156246
2006,"Juni","Hasil industri","Damar tiruan, bahan plastik",152713
2006,"Juni","Hasil industri","Furnitur",138277
2006,"Juni","Hasil industri","Kapal laut dan sejenisnya",110460
2006,"Juni","Hasil industri","Bahan kertas",64205
2006,"Juni","Hasil industri","Suku cadang kendaraan",103174
2006,"Juni","Hasil industri","Kendaraan bermotor roda 4 dan lebih",34619
2006,"Juni","Hasil industri","Emas batangan",36478
2006,"Juni","Hasil industri","Suku cadang mesin",58593
2006,"Juni","Hasil industri","Asam berlemak",25891
2006,"Juni","Hasil industri","Komputer dan bagiannya",94133
2006,"Juni","Hasil industri","Sabun mandi dan cuci",28400
2006,"Juni","Hasil industri","Minyak atsiri dan lainnya",18846
2006,"Juni","Hasil industri","Gelas dan barang dari gelas",36740
2006,"Juni","Hasil industri","Pupuk",964
2006,"Juni","Hasil industri","Perlengkapan olahraga",22753
2006,"Juni","Hasil industri","Produk keramik",25625
2006,"Juni","Hasil industri","Makanan ternak",10995
2006,"Juni","Hasil industri","Margarin dan lemak lainnya",12037
2006,"Juni","Hasil industri","Produk farmasi",14367
2006,"Juni","Hasil industri","Barang dari logam mulia",6745
2006,"Juni","Hasil industri","Kulit dan barang dari kulit",16056
2006,"Juni","Hasil industri","Preparat pembasmi kuman",7313
2006,"Juni","Hasil industri","Pesawat udara dan bagiannya",69973
2006,"Juni","Hasil industri","Bahan celup organik sintetik",12445
2006,"Juni","Hasil industri","Semen",18959
2006,"Juni","Hasil industri","Kendaraan bermotor roda 2 dan 3",2837
2006,"Juni","Hasil industri","Barang anyaman",5414
2006,"Juni","Hasil industri","Rotan olahan",3116
2006,"Juni","Hasil industri","Peti kemas",4218
2006,"Juni","Hasil industri","Gliserol dan larutan alkali",562
2006,"Juni","Hasil industri","Hasil industri lainnya",432972
2006,"Juni","Hasil pertambangan dan sektor lainnya","Batubara",444112
2006,"Juni","Hasil pertambangan dan sektor lainnya","Biji tembaga",390652
2006,"Juni","Hasil pertambangan dan sektor lainnya","Biji nikel",13490
2006,"Juni","Hasil pertambangan dan sektor lainnya","Bauksit",5729
2006,"Juni","Hasil pertambangan dan sektor lainnya","Granit",4401
2006,"Juni","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",15667
2006,"Juni","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",519
2006,"Juni","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",38722
2006,"Juli","Hasil pertanian","Biji coklat",54911
2006,"Juli","Hasil pertanian","Udang",86395
2006,"Juli","Hasil pertanian","Biji kopi",78965
2006,"Juli","Hasil pertanian","Ikan dan lain-lain",38858
2006,"Juli","Hasil pertanian","Rempah-rempah",15737
2006,"Juli","Hasil pertanian","Teh",4834
2006,"Juli","Hasil pertanian","Bahan nabati",4267
2006,"Juli","Hasil pertanian","Buah-buahan",6483
2006,"Juli","Hasil pertanian","Tembakau",3809
2006,"Juli","Hasil pertanian","Sayur-sayuran",2372
2006,"Juli","Hasil pertanian","Damar dan getah damar",2367
2006,"Juli","Hasil pertanian","Karet alam",308
2006,"Juli","Hasil pertanian","Hasil pertanian lainnya",13297
2006,"Juli","Hasil industri","Minyak sawit",555681
2006,"Juli","Hasil industri","Tekstil dan produk tekstil",860586
2006,"Juli","Hasil industri","Peralatan listrik, alat ukur dan optik",595958
2006,"Juli","Hasil industri","Produk logam dasar ",598560
2006,"Juli","Hasil industri","Karet olahan ",607406
2006,"Juli","Hasil industri","Kertas dan barang dari kertas",253878
2006,"Juli","Hasil industri","Makanan olahan",160703
2006,"Juli","Hasil industri","Bahan kimia",301002
2006,"Juli","Hasil industri","Produk kayu olahan",311471
2006,"Juli","Hasil industri","Alas kaki",144377
2006,"Juli","Hasil industri","Damar tiruan, bahan plastik",143076
2006,"Juli","Hasil industri","Furnitur",131454
2006,"Juli","Hasil industri","Kapal laut dan sejenisnya",74928
2006,"Juli","Hasil industri","Bahan kertas",160418
2006,"Juli","Hasil industri","Suku cadang kendaraan",94127
2006,"Juli","Hasil industri","Kendaraan bermotor roda 4 dan lebih",32858
2006,"Juli","Hasil industri","Emas batangan",42080
2006,"Juli","Hasil industri","Suku cadang mesin",66049
2006,"Juli","Hasil industri","Asam berlemak",26757
2006,"Juli","Hasil industri","Komputer dan bagiannya",93562
2006,"Juli","Hasil industri","Sabun mandi dan cuci",27206
2006,"Juli","Hasil industri","Minyak atsiri dan lainnya",18838
2006,"Juli","Hasil industri","Gelas dan barang dari gelas",36642
2006,"Juli","Hasil industri","Pupuk",876
2006,"Juli","Hasil industri","Perlengkapan olahraga",25425
2006,"Juli","Hasil industri","Produk keramik",24697
2006,"Juli","Hasil industri","Makanan ternak",18885
2006,"Juli","Hasil industri","Margarin dan lemak lainnya",11504
2006,"Juli","Hasil industri","Produk farmasi",10212
2006,"Juli","Hasil industri","Barang dari logam mulia",7841
2006,"Juli","Hasil industri","Kulit dan barang dari kulit",13883
2006,"Juli","Hasil industri","Preparat pembasmi kuman",5199
2006,"Juli","Hasil industri","Pesawat udara dan bagiannya",36262
2006,"Juli","Hasil industri","Bahan celup organik sintetik",11958
2006,"Juli","Hasil industri","Semen",25491
2006,"Juli","Hasil industri","Kendaraan bermotor roda 2 dan 3",2956
2006,"Juli","Hasil industri","Barang anyaman",5750
2006,"Juli","Hasil industri","Rotan olahan",1825
2006,"Juli","Hasil industri","Peti kemas",3872
2006,"Juli","Hasil industri","Gliserol dan larutan alkali",176
2006,"Juli","Hasil industri","Hasil industri lainnya",423712
2006,"Juli","Hasil pertambangan dan sektor lainnya","Batubara",567739
2006,"Juli","Hasil pertambangan dan sektor lainnya","Biji tembaga",13
2006,"Juli","Hasil pertambangan dan sektor lainnya","Biji nikel",15384
2006,"Juli","Hasil pertambangan dan sektor lainnya","Bauksit",4315
2006,"Juli","Hasil pertambangan dan sektor lainnya","Granit",2654
2006,"Juli","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",20661
2006,"Juli","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",515
2006,"Juli","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",22607
2006,"Agustus","Hasil pertanian","Biji coklat",61116
2006,"Agustus","Hasil pertanian","Udang",82639
2006,"Agustus","Hasil pertanian","Biji kopi",80246
2006,"Agustus","Hasil pertanian","Ikan dan lain-lain",39064
2006,"Agustus","Hasil pertanian","Rempah-rempah",16998
2006,"Agustus","Hasil pertanian","Teh",4184
2006,"Agustus","Hasil pertanian","Bahan nabati",4277
2006,"Agustus","Hasil pertanian","Buah-buahan",7338
2006,"Agustus","Hasil pertanian","Tembakau",5148
2006,"Agustus","Hasil pertanian","Sayur-sayuran",5216
2006,"Agustus","Hasil pertanian","Damar dan getah damar",2728
2006,"Agustus","Hasil pertanian","Karet alam",732
2006,"Agustus","Hasil pertanian","Hasil pertanian lainnya",12636
2006,"Agustus","Hasil industri","Minyak sawit",229041
2006,"Agustus","Hasil industri","Tekstil dan produk tekstil",865825
2006,"Agustus","Hasil industri","Peralatan listrik, alat ukur dan optik",664714
2006,"Agustus","Hasil industri","Produk logam dasar ",650461
2006,"Agustus","Hasil industri","Karet olahan ",575211
2006,"Agustus","Hasil industri","Kertas dan barang dari kertas",242343
2006,"Agustus","Hasil industri","Makanan olahan",165627
2006,"Agustus","Hasil industri","Bahan kimia",277097
2006,"Agustus","Hasil industri","Produk kayu olahan",273282
2006,"Agustus","Hasil industri","Alas kaki",126476
2006,"Agustus","Hasil industri","Damar tiruan, bahan plastik",155868
2006,"Agustus","Hasil industri","Furnitur",131064
2006,"Agustus","Hasil industri","Kapal laut dan sejenisnya",22954
2006,"Agustus","Hasil industri","Bahan kertas",138997
2006,"Agustus","Hasil industri","Suku cadang kendaraan",95245
2006,"Agustus","Hasil industri","Kendaraan bermotor roda 4 dan lebih",35019
2006,"Agustus","Hasil industri","Emas batangan",31558
2006,"Agustus","Hasil industri","Suku cadang mesin",67633
2006,"Agustus","Hasil industri","Asam berlemak",29144
2006,"Agustus","Hasil industri","Komputer dan bagiannya",116978
2006,"Agustus","Hasil industri","Sabun mandi dan cuci",26890
2006,"Agustus","Hasil industri","Minyak atsiri dan lainnya",18674
2006,"Agustus","Hasil industri","Gelas dan barang dari gelas",33735
2006,"Agustus","Hasil industri","Pupuk",551
2006,"Agustus","Hasil industri","Perlengkapan olahraga",25583
2006,"Agustus","Hasil industri","Produk keramik",27262
2006,"Agustus","Hasil industri","Makanan ternak",13057
2006,"Agustus","Hasil industri","Margarin dan lemak lainnya",7598
2006,"Agustus","Hasil industri","Produk farmasi",17690
2006,"Agustus","Hasil industri","Barang dari logam mulia",11839
2006,"Agustus","Hasil industri","Kulit dan barang dari kulit",12541
2006,"Agustus","Hasil industri","Preparat pembasmi kuman",5109
2006,"Agustus","Hasil industri","Pesawat udara dan bagiannya",6718
2006,"Agustus","Hasil industri","Bahan celup organik sintetik",11585
2006,"Agustus","Hasil industri","Semen",15565
2006,"Agustus","Hasil industri","Kendaraan bermotor roda 2 dan 3",2288
2006,"Agustus","Hasil industri","Barang anyaman",6011
2006,"Agustus","Hasil industri","Rotan olahan",2403
2006,"Agustus","Hasil industri","Peti kemas",4271
2006,"Agustus","Hasil industri","Gliserol dan larutan alkali",509
2006,"Agustus","Hasil industri","Hasil industri lainnya",447512
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Batubara",533506
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Biji tembaga",632445
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Biji nikel",11679
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Bauksit",6347
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Granit",2376
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",15006
2006,"Agustus","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",550
2006,"Agustus","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",30102
2006,"September","Hasil pertanian","Biji coklat",32492
2006,"September","Hasil pertanian","Udang",89704
2006,"September","Hasil pertanian","Biji kopi",58886
2006,"September","Hasil pertanian","Ikan dan lain-lain",41170
2006,"September","Hasil pertanian","Rempah-rempah",24969
2006,"September","Hasil pertanian","Teh",3662
2006,"September","Hasil pertanian","Bahan nabati",5057
2006,"September","Hasil pertanian","Buah-buahan",7202
2006,"September","Hasil pertanian","Tembakau",2676
2006,"September","Hasil pertanian","Sayur-sayuran",5805
2006,"September","Hasil pertanian","Damar dan getah damar",3243
2006,"September","Hasil pertanian","Karet alam",247
2006,"September","Hasil pertanian","Hasil pertanian lainnya",16455
2006,"September","Hasil industri","Minyak sawit",536016
2006,"September","Hasil industri","Tekstil dan produk tekstil",875015
2006,"September","Hasil industri","Peralatan listrik, alat ukur dan optik",778642
2006,"September","Hasil industri","Produk logam dasar ",742916
2006,"September","Hasil industri","Karet olahan ",484178
2006,"September","Hasil industri","Kertas dan barang dari kertas",237442
2006,"September","Hasil industri","Makanan olahan",169465
2006,"September","Hasil industri","Bahan kimia",280248
2006,"September","Hasil industri","Produk kayu olahan",305080
2006,"September","Hasil industri","Alas kaki",125023
2006,"September","Hasil industri","Damar tiruan, bahan plastik",159480
2006,"September","Hasil industri","Furnitur",142570
2006,"September","Hasil industri","Kapal laut dan sejenisnya",5764
2006,"September","Hasil industri","Bahan kertas",88491
2006,"September","Hasil industri","Suku cadang kendaraan",104290
2006,"September","Hasil industri","Kendaraan bermotor roda 4 dan lebih",39483
2006,"September","Hasil industri","Emas batangan",42382
2006,"September","Hasil industri","Suku cadang mesin",74807
2006,"September","Hasil industri","Asam berlemak",28356
2006,"September","Hasil industri","Komputer dan bagiannya",131587
2006,"September","Hasil industri","Sabun mandi dan cuci",31789
2006,"September","Hasil industri","Minyak atsiri dan lainnya",18050
2006,"September","Hasil industri","Gelas dan barang dari gelas",29719
2006,"September","Hasil industri","Pupuk",552
2006,"September","Hasil industri","Perlengkapan olahraga",23114
2006,"September","Hasil industri","Produk keramik",24222
2006,"September","Hasil industri","Makanan ternak",13250
2006,"September","Hasil industri","Margarin dan lemak lainnya",10004
2006,"September","Hasil industri","Produk farmasi",15220
2006,"September","Hasil industri","Barang dari logam mulia",11831
2006,"September","Hasil industri","Kulit dan barang dari kulit",17063
2006,"September","Hasil industri","Preparat pembasmi kuman",5987
2006,"September","Hasil industri","Pesawat udara dan bagiannya",7528
2006,"September","Hasil industri","Bahan celup organik sintetik",10979
2006,"September","Hasil industri","Semen",15212
2006,"September","Hasil industri","Kendaraan bermotor roda 2 dan 3",3505
2006,"September","Hasil industri","Barang anyaman",6231
2006,"September","Hasil industri","Rotan olahan",1415
2006,"September","Hasil industri","Peti kemas",4566
2006,"September","Hasil industri","Gliserol dan larutan alkali",243
2006,"September","Hasil industri","Hasil industri lainnya",497424
2006,"September","Hasil pertambangan dan sektor lainnya","Batubara",566127
2006,"September","Hasil pertambangan dan sektor lainnya","Biji tembaga",526182
2006,"September","Hasil pertambangan dan sektor lainnya","Biji nikel",12281
2006,"September","Hasil pertambangan dan sektor lainnya","Bauksit",4114
2006,"September","Hasil pertambangan dan sektor lainnya","Granit",2351
2006,"September","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",14049
2006,"September","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",1628
2006,"September","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",42216
2006,"Oktober","Hasil pertanian","Biji coklat",25137
2006,"Oktober","Hasil pertanian","Udang",77127
2006,"Oktober","Hasil pertanian","Biji kopi",39686
2006,"Oktober","Hasil pertanian","Ikan dan lain-lain",31247
2006,"Oktober","Hasil pertanian","Rempah-rempah",17048
2006,"Oktober","Hasil pertanian","Teh",3813
2006,"Oktober","Hasil pertanian","Bahan nabati",3930
2006,"Oktober","Hasil pertanian","Buah-buahan",7690
2006,"Oktober","Hasil pertanian","Tembakau",4059
2006,"Oktober","Hasil pertanian","Sayur-sayuran",4908
2006,"Oktober","Hasil pertanian","Damar dan getah damar",1944
2006,"Oktober","Hasil pertanian","Karet alam",545
2006,"Oktober","Hasil pertanian","Hasil pertanian lainnya",13260
2006,"Oktober","Hasil industri","Minyak sawit",655607
2006,"Oktober","Hasil industri","Tekstil dan produk tekstil",676301
2006,"Oktober","Hasil industri","Peralatan listrik, alat ukur dan optik",594459
2006,"Oktober","Hasil industri","Produk logam dasar ",587055
2006,"Oktober","Hasil industri","Karet olahan ",409450
2006,"Oktober","Hasil industri","Kertas dan barang dari kertas",193456
2006,"Oktober","Hasil industri","Makanan olahan",147907
2006,"Oktober","Hasil industri","Bahan kimia",360385
2006,"Oktober","Hasil industri","Produk kayu olahan",285391
2006,"Oktober","Hasil industri","Alas kaki",95993
2006,"Oktober","Hasil industri","Damar tiruan, bahan plastik",127493
2006,"Oktober","Hasil industri","Furnitur",122852
2006,"Oktober","Hasil industri","Kapal laut dan sejenisnya",89755
2006,"Oktober","Hasil industri","Bahan kertas",98651
2006,"Oktober","Hasil industri","Suku cadang kendaraan",89194
2006,"Oktober","Hasil industri","Kendaraan bermotor roda 4 dan lebih",52975
2006,"Oktober","Hasil industri","Emas batangan",14722
2006,"Oktober","Hasil industri","Suku cadang mesin",68710
2006,"Oktober","Hasil industri","Asam berlemak",33586
2006,"Oktober","Hasil industri","Komputer dan bagiannya",112420
2006,"Oktober","Hasil industri","Sabun mandi dan cuci",24374
2006,"Oktober","Hasil industri","Minyak atsiri dan lainnya",15472
2006,"Oktober","Hasil industri","Gelas dan barang dari gelas",27326
2006,"Oktober","Hasil industri","Pupuk",433
2006,"Oktober","Hasil industri","Perlengkapan olahraga",16484
2006,"Oktober","Hasil industri","Produk keramik",17909
2006,"Oktober","Hasil industri","Makanan ternak",19150
2006,"Oktober","Hasil industri","Margarin dan lemak lainnya",7649
2006,"Oktober","Hasil industri","Produk farmasi",10977
2006,"Oktober","Hasil industri","Barang dari logam mulia",8050
2006,"Oktober","Hasil industri","Kulit dan barang dari kulit",14223
2006,"Oktober","Hasil industri","Preparat pembasmi kuman",5204
2006,"Oktober","Hasil industri","Pesawat udara dan bagiannya",5282
2006,"Oktober","Hasil industri","Bahan celup organik sintetik",7744
2006,"Oktober","Hasil industri","Semen",22126
2006,"Oktober","Hasil industri","Kendaraan bermotor roda 2 dan 3",1330
2006,"Oktober","Hasil industri","Barang anyaman",4417
2006,"Oktober","Hasil industri","Rotan olahan",551
2006,"Oktober","Hasil industri","Peti kemas",2110
2006,"Oktober","Hasil industri","Gliserol dan larutan alkali",170
2006,"Oktober","Hasil industri","Hasil industri lainnya",456243
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Batubara",541768
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Biji tembaga",526893
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Biji nikel",27477
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Bauksit",3663
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Granit",2582
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",10183
2006,"Oktober","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",528
2006,"Oktober","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",34190
2006,"November","Hasil pertanian","Biji coklat",61605
2006,"November","Hasil pertanian","Udang",72542
2006,"November","Hasil pertanian","Biji kopi",51739
2006,"November","Hasil pertanian","Ikan dan lain-lain",33570
2006,"November","Hasil pertanian","Rempah-rempah",19370
2006,"November","Hasil pertanian","Teh",3843
2006,"November","Hasil pertanian","Bahan nabati",7350
2006,"November","Hasil pertanian","Buah-buahan",7168
2006,"November","Hasil pertanian","Tembakau",3346
2006,"November","Hasil pertanian","Sayur-sayuran",5588
2006,"November","Hasil pertanian","Damar dan getah damar",3350
2006,"November","Hasil pertanian","Karet alam",880
2006,"November","Hasil pertanian","Hasil pertanian lainnya",13651
2006,"November","Hasil industri","Minyak sawit",249397
2006,"November","Hasil industri","Tekstil dan produk tekstil",757177
2006,"November","Hasil industri","Peralatan listrik, alat ukur dan optik",677190
2006,"November","Hasil industri","Produk logam dasar ",731252
2006,"November","Hasil industri","Karet olahan ",373851
2006,"November","Hasil industri","Kertas dan barang dari kertas",245594
2006,"November","Hasil industri","Makanan olahan",177392
2006,"November","Hasil industri","Bahan kimia",266162
2006,"November","Hasil industri","Produk kayu olahan",244212
2006,"November","Hasil industri","Alas kaki",131484
2006,"November","Hasil industri","Damar tiruan, bahan plastik",153991
2006,"November","Hasil industri","Furnitur",142534
2006,"November","Hasil industri","Kapal laut dan sejenisnya",81871
2006,"November","Hasil industri","Bahan kertas",91939
2006,"November","Hasil industri","Suku cadang kendaraan",103574
2006,"November","Hasil industri","Kendaraan bermotor roda 4 dan lebih",49387
2006,"November","Hasil industri","Emas batangan",37974
2006,"November","Hasil industri","Suku cadang mesin",83206
2006,"November","Hasil industri","Asam berlemak",33912
2006,"November","Hasil industri","Komputer dan bagiannya",118032
2006,"November","Hasil industri","Sabun mandi dan cuci",31369
2006,"November","Hasil industri","Minyak atsiri dan lainnya",19365
2006,"November","Hasil industri","Gelas dan barang dari gelas",31278
2006,"November","Hasil industri","Pupuk",714
2006,"November","Hasil industri","Perlengkapan olahraga",16941
2006,"November","Hasil industri","Produk keramik",23347
2006,"November","Hasil industri","Makanan ternak",11130
2006,"November","Hasil industri","Margarin dan lemak lainnya",10183
2006,"November","Hasil industri","Produk farmasi",12175
2006,"November","Hasil industri","Barang dari logam mulia",10048
2006,"November","Hasil industri","Kulit dan barang dari kulit",15359
2006,"November","Hasil industri","Preparat pembasmi kuman",9051
2006,"November","Hasil industri","Pesawat udara dan bagiannya",12931
2006,"November","Hasil industri","Bahan celup organik sintetik",12556
2006,"November","Hasil industri","Semen",22593
2006,"November","Hasil industri","Kendaraan bermotor roda 2 dan 3",2471
2006,"November","Hasil industri","Barang anyaman",5389
2006,"November","Hasil industri","Rotan olahan",1148
2006,"November","Hasil industri","Peti kemas",7339
2006,"November","Hasil industri","Gliserol dan larutan alkali",625
2006,"November","Hasil industri","Hasil industri lainnya",467906
2006,"November","Hasil pertambangan dan sektor lainnya","Batubara",519456
2006,"November","Hasil pertambangan dan sektor lainnya","Biji tembaga",544212
2006,"November","Hasil pertambangan dan sektor lainnya","Biji nikel",29230
2006,"November","Hasil pertambangan dan sektor lainnya","Bauksit",6643
2006,"November","Hasil pertambangan dan sektor lainnya","Granit",2412
2006,"November","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",13320
2006,"November","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",521
2006,"November","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",50117
2006,"Desember","Hasil pertanian","Biji coklat",65650
2006,"Desember","Hasil pertanian","Udang",72462
2006,"Desember","Hasil pertanian","Biji kopi",39656
2006,"Desember","Hasil pertanian","Ikan dan lain-lain",45636
2006,"Desember","Hasil pertanian","Rempah-rempah",12992
2006,"Desember","Hasil pertanian","Teh",4489
2006,"Desember","Hasil pertanian","Bahan nabati",5170
2006,"Desember","Hasil pertanian","Buah-buahan",13251
2006,"Desember","Hasil pertanian","Tembakau",3397
2006,"Desember","Hasil pertanian","Sayur-sayuran",2624
2006,"Desember","Hasil pertanian","Damar dan getah damar",5594
2006,"Desember","Hasil pertanian","Karet alam",1348
2006,"Desember","Hasil pertanian","Hasil pertanian lainnya",14573
2006,"Desember","Hasil industri","Minyak sawit",642785
2006,"Desember","Hasil industri","Tekstil dan produk tekstil",845934
2006,"Desember","Hasil industri","Peralatan listrik, alat ukur dan optik",609625
2006,"Desember","Hasil industri","Produk logam dasar ",737251
2006,"Desember","Hasil industri","Karet olahan ",358536
2006,"Desember","Hasil industri","Kertas dan barang dari kertas",247081
2006,"Desember","Hasil industri","Makanan olahan",180778
2006,"Desember","Hasil industri","Bahan kimia",336806
2006,"Desember","Hasil industri","Produk kayu olahan",304124
2006,"Desember","Hasil industri","Alas kaki",142561
2006,"Desember","Hasil industri","Damar tiruan, bahan plastik",148963
2006,"Desember","Hasil industri","Furnitur",176568
2006,"Desember","Hasil industri","Kapal laut dan sejenisnya",148010
