tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Februari","Hasil industri","Asam berlemak",41430
2005,"Februari","Hasil industri","Komputer dan bagiannya",0
2005,"Februari","Hasil industri","Sabun mandi dan cuci",25128
2005,"Februari","Hasil industri","Minyak atsiri dan lainnya",8767
2005,"Februari","Hasil industri","Gelas dan barang dari gelas",36860
2005,"Februari","Hasil industri","Pupuk",16232
2005,"Februari","Hasil industri","Perlengkapan olahraga",12975
2005,"Februari","Hasil industri","Produk keramik",20389
2005,"Februari","Hasil industri","Makanan ternak",4279
2005,"Februari","Hasil industri","Margarin dan lemak lainnya",11263
2005,"Februari","Hasil industri","Produk farmasi",7621
2005,"Februari","Hasil industri","Barang dari logam mulia",4970
2005,"Februari","Hasil industri","Kulit dan barang dari kulit",8284
2005,"Februari","Hasil industri","Preparat pembasmi kuman",463
2005,"Februari","Hasil industri","Pesawat udara dan bagiannya",9268
2005,"Februari","Hasil industri","Bahan celup organik sintetik",7297
2005,"Februari","Hasil industri","Semen",7730
2005,"Februari","Hasil industri","Kendaraan bermotor roda 2 dan 3",22630
2005,"Februari","Hasil industri","Barang anyaman",0
2005,"Februari","Hasil industri","Rotan olahan",0
2005,"Februari","Hasil industri","Peti kemas",0
2005,"Februari","Hasil industri","Gliserol dan larutan alkali",0
2005,"Februari","Hasil industri","Hasil industri lainnya",1241406
2005,"Februari","Hasil pertambangan dan sektor lainnya","Batubara",204084
2005,"Februari","Hasil pertambangan dan sektor lainnya","Biji tembaga",188091
2005,"Februari","Hasil pertambangan dan sektor lainnya","Biji nikel",5111
2005,"Februari","Hasil pertambangan dan sektor lainnya","Bauksit",2627
2005,"Februari","Hasil pertambangan dan sektor lainnya","Granit",349
2005,"Februari","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",23870
2005,"Februari","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",228
2005,"Februari","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",77900
2005,"Maret","Hasil pertanian","Biji coklat",40073
2005,"Maret","Hasil pertanian","Udang",59746
2005,"Maret","Hasil pertanian","Biji kopi",41770
2005,"Maret","Hasil pertanian","Ikan dan lain-lain",20366
2005,"Maret","Hasil pertanian","Rempah-rempah",13745
2005,"Maret","Hasil pertanian","Teh",11206
2005,"Maret","Hasil pertanian","Bahan nabati",647
2005,"Maret","Hasil pertanian","Buah-buahan",252
2005,"Maret","Hasil pertanian","Tembakau",31693
2005,"Maret","Hasil pertanian","Sayur-sayuran",938
2005,"Maret","Hasil pertanian","Damar dan getah damar",1393
2005,"Maret","Hasil pertanian","Karet alam",467
2005,"Maret","Hasil pertanian","Hasil pertanian lainnya",9563
2005,"Maret","Hasil industri","Minyak sawit",282421
2005,"Maret","Hasil industri","Tekstil dan produk tekstil",527237
2005,"Maret","Hasil industri","Peralatan listrik, alat ukur dan optik",559137
2005,"Maret","Hasil industri","Produk logam dasar ",370682
2005,"Maret","Hasil industri","Karet olahan ",33745
2005,"Maret","Hasil industri","Kertas dan barang dari kertas",21403
2005,"Maret","Hasil industri","Makanan olahan",160922
2005,"Maret","Hasil industri","Bahan kimia",216976
2005,"Maret","Hasil industri","Produk kayu olahan",265616
